País,Código,Región
Japón,JPN,Asia
Jordania,JOR,Asia
Kazajistán,KAZ,Asia
Kenia,KEN,África
Kiribati,KIR,Oceania
Corea del Norte,PRK,Asia
Corea del Sur,KOR,Asia
Kosovo,XKX,Europa
Kuwait,KWT,Asia
Kirguistán,KGZ,Asia
Laos,LAO,Asia
Letonia,LVA,Europa
Líbano, LBN,Asia
Lesoto,LSO,África
Liberia,LBR,África
Libia,LBY,África
Liechtenstein,LIE,Europa
Lituania,LTU,Europa
Luxemburgo,LUX,Europa
Macao,MAC,Asia
Macedonia del Norte,MKD,Europa
Madagascar,MDG,África
Malawi,Mwi,África
Malasia,MYS,Asia
Maldivas,MDV,Asia
Malí,MLI,África
Malta,MLT,Europa
Islas Marshall,MHL,Oceanía
Martinica,MTQ,América del Norte
Mauritania,MRT,África
Mauricio,MUS,África
Islas de la Sociedad,MAT,Oceania
México,MEX,América del Norte
Micronesia,FSM,Oceanía
Moldavia,MDA,Europa
Mónaco,MCO,Europa
Montenegro,MNG,Europa
Montenegro,MNE,Europa
Isla de Santa María,MSR,América del Norte
Marruecos,MAR,África
Mozambique,MOZ,África
Birmania,MMR,Asia
Namibia,NAM,África
Nauru,NRU,Oceania
Nepal,NPL,Asia
Países Bajos,NLD,Europa
Antillas Neerlandesas,ANT,América del Norte
Nueva Caledonia,NCL,Oceania
Nueva Zelanda,NZL,Oceania
Nicaragua,NIC,América del Norte
Níger,NER,África
Nigeria,NGA,África
Niue,NIU,Oceania
Noruega,NOR,Europa
Omán,OMN,Asia
Pakistán,PAK,Asia
Palau,PLW,Oceania
Panamá,PAN,América del Norte
Papúa Nueva Guinea,PNG,Oceania
Paraguay,PRY,América del Sur
Perú,PER,América del Sur
Filipinas,PHL,Asia
Polonia,POL,Europa
Portugal,PRT,Europa
Puerto Rico,PRI,América del Norte
Catar,QAT,Asia
Reunión,REU,África
Rumanía,ROU,Europa
Rusia,RUS,Europa/Asia
Ruanda,RWA,África
Santa Helena,SHN,África
San Pedro y Miquelón,SPM,América del Norte
Samoa,WSM,Oceania
San Marino,SMR,Europa
Santo Tomé y Príncipe,STP,África
Arabia Saudita,SAU,Asia
Senegal,SEN,África
Serbia,SRB,Europa
Seychelles,SYC,África
Sierra Leona,SLE,África
Singapur,SGP,Asia
Eslovaquia,SVK,Europa
Eslovenia,SVN,Europa
Islas Salomón,SLB,Oceania
Somalia,SOM,África
Sudáfrica,ZAF,África
España,ESP,Europa
Sri Lanka,LKA,Asia
San Cristóbal y Nieves,KNA,América del Norte
San Vicente y las Granadinas,LCA,América del Norte
Santa Lucía,VCT,América del Norte
Sudán,SDN,África
Surinam,SUR,América del Sur
Suiza,CHE,Europa
Siria,SYR,Asia
Taiwán,TWN,Asia
Tayikistán,TJK,Asia
Tanzania,TZA,África
Tailandia,THA,Asia
Timor Oriental,TLS,Asia
Togo,TGO,África
Tokelau,TKL,Oceania
Tonga,TON,Oceania
Trinidad y Tobago,TTO,América del Norte
Túnez,TUN,África
Turquía,TUR,Asia
Turkmenistán,TKM,Asia
Islas Turcas y Caicos,TCA,América del Norte
Tuvalu,TUV,Oceania
Uganda,UGA,África
Ucrania,UKR,Europa
Emiratos Árabes Unidos,ARE,Asia
Reino Unido,GBR,Europa
Estados Unidos,USA,América del Norte
Uruguay,URY,América del Sur
Uzbekistán,UZB,Asia
Vanuatu,VUT,Oceania
Venezuela,VEN,América del Sur
Vietnam,VNM,Asia
Islas Vírgenes (EE. UU.),VIR,América del Norte
Islas Vírgenes (Reino Unido),VGB,América del Norte
Wallis y Futuna,WLF,Oceania
Palestina,PSE,Asia
Yemen,YEM,Asia
Zambia,ZMB,África
Zimbabue,ZWE,África
Chile,CHL,América del Sur
Lebanon,LBN,Asia
Sweden,SWE,Europa
Swaziland,SWZ,África
Zambia,ZMB,África
Northern Mariana Islands,MNP,Oceanía
Malawi,MWI,África
Mayotte,MYT,África
Norfolk Island,NFK,Oceanía
Serbia and Montenegro,SCG,Europa



